Path,Label,k-fold,Label_enc
Red Kidney Beans/Image_397.jpg,Red Kidney Beans,0.0,7
Pinto Beans/Image_962.jpg,Pinto Beans,0.0,6
Black Gram/Image_562.jpg,Black Gram,0.0,1
Chickpeas/Image_412.jpg,Chickpeas,0.0,2
Green Gram/Image_976.jpg,Green Gram,0.0,5
Pinto Beans/Image_510.jpg,Pinto Beans,0.0,6
White Kidney Beans/Image_191.jpg,White Kidney Beans,0.0,12
Split Black Gram/Image_135_fa (150).jpg,Split Black Gram,0.0,10
Split Black Gram/Image_740.jpg,Split Black Gram,0.0,10
Green Chickpeas/Image_330.jpg,Green Chickpeas,0.0,4
Yellow Lentils/Image_328.jpg,Yellow Lentils,0.0,13
Green Chickpeas/Image_769.jpg,Green Chickpeas,0.0,4
Black Gram/Image_10.jpg,Black Gram,0.0,1
Adzuki Beans/Image_744.jpg,Adzuki Beans,0.0,0
Green Gram/Image_575.jpg,Green Gram,0.0,5
Adzuki Beans/Image_771.jpg,Adzuki Beans,0.0,0
Split Black Gram/Image_529_gg (64).jpg,Split Black Gram,0.0,10
Dew Bean/Image_314.jpg,Dew Bean,0.0,3
Adzuki Beans/Image_878.jpg,Adzuki Beans,0.0,0
Red Kidney Beans/Image_652.jpg,Red Kidney Beans,0.0,7
White Kidney Beans/Image_681.jpg,White Kidney Beans,0.0,12
Red Lentils/Image_75.jpg,Red Lentils,0.0,8
Red Lentils/Image_428.jpg,Red Lentils,0.0,8
Adzuki Beans/Image_932.jpg,Adzuki Beans,0.0,0
Black Gram/Image_238.jpg,Black Gram,0.0,1
Yellow Lentils/Image_435.jpg,Yellow Lentils,0.0,13
Chickpeas/Image_824.jpg,Chickpeas,0.0,2
Split Black Gram/Image_135_fa (81).jpg,Split Black Gram,0.0,10
Yellow Lentils/Image_846.jpg,Yellow Lentils,0.0,13
Red Lentils/Image_896.jpg,Red Lentils,0.0,8
Split & Skinned Black Gram/Image_333.jpg,Split & Skinned Black Gram,0.0,9
Pinto Beans/Image_951.jpg,Pinto Beans,0.0,6
Black Gram/Image_548.jpg,Black Gram,0.0,1
Split & Skinned Black Gram/Image_842fga (120).jpg,Split & Skinned Black Gram,0.0,9
Adzuki Beans/Image_426.jpg,Adzuki Beans,0.0,0
Dew Bean/Image_730.jpg,Dew Bean,0.0,3
Adzuki Beans/Image_500.jpg,Adzuki Beans,0.0,0
Adzuki Beans/Image_631.jpg,Adzuki Beans,0.0,0
Adzuki Beans/Image_244.jpg,Adzuki Beans,0.0,0
Red Kidney Beans/Image_160.jpg,Red Kidney Beans,0.0,7
Pinto Beans/Image_167.jpg,Pinto Beans,0.0,6
Yellow Lentils/Image_789.jpg,Yellow Lentils,0.0,13
Yellow Lentils/Image_481.jpg,Yellow Lentils,0.0,13
Black Gram/Image_406.jpg,Black Gram,0.0,1
Yellow Lentils/Image_564.jpg,Yellow Lentils,0.0,13
Split & Skinned Black Gram/Image_842fga (246).jpg,Split & Skinned Black Gram,0.0,9
Split & Skinned Black Gram/Image_803.jpg,Split & Skinned Black Gram,0.0,9
Pinto Beans/Image_82.jpg,Pinto Beans,0.0,6
Chickpeas/Image_911.jpg,Chickpeas,0.0,2
Dew Bean/Image_546.jpg,Dew Bean,0.0,3
Green Chickpeas/Image_904.jpg,Green Chickpeas,0.0,4
Green Gram/Image_233.jpg,Green Gram,0.0,5
Dew Bean/Image_404.jpg,Dew Bean,0.0,3
Red Lentils/Image_865.jpg,Red Lentils,0.0,8
Chickpeas/Image_181.jpg,Chickpeas,0.0,2
Red Kidney Beans/Image_432.jpg,Red Kidney Beans,0.0,7
Dew Bean/Image_781.jpg,Dew Bean,0.0,3
Dew Bean/Image_154.jpg,Dew Bean,0.0,3
Black Gram/Image_305.jpg,Black Gram,0.0,1
Split Black Gram/Image_680.jpg,Split Black Gram,0.0,10
Dew Bean/Image_213.jpg,Dew Bean,0.0,3
Green Gram/Image_945.jpg,Green Gram,0.0,5
Red Lentils/Image_753.jpg,Red Lentils,0.0,8
Split Black Gram/Image_166.jpg,Split Black Gram,0.0,10
Black Gram/Image_207_f (93).jpg,Black Gram,0.0,1
Red Lentils/Image_628.jpg,Red Lentils,0.0,8
Black Gram/Image_716.jpg,Black Gram,0.0,1
Red Lentils/Image_343.jpg,Red Lentils,0.0,8
White Kidney Beans/Image_330.jpg,White Kidney Beans,0.0,12
Split & Skinned Black Gram/Image_826.jpg,Split & Skinned Black Gram,0.0,9
White Kidney Beans/Image_963.jpg,White Kidney Beans,0.0,12
Red Kidney Beans/Image_354.jpg,Red Kidney Beans,0.0,7
Adzuki Beans/Image_960.jpg,Adzuki Beans,0.0,0
Green Chickpeas/Image_493.jpg,Green Chickpeas,0.0,4
Chickpeas/Image_110.jpg,Chickpeas,0.0,2
Split & Skinned Black Gram/Image_918.jpg,Split & Skinned Black Gram,0.0,9
Pinto Beans/Image_495.jpg,Pinto Beans,0.0,6
Adzuki Beans/Image_220.jpg,Adzuki Beans,0.0,0
Red Lentils/Image_688.jpg,Red Lentils,0.0,8
Adzuki Beans/Image_612.jpg,Adzuki Beans,0.0,0
Green Chickpeas/Image_979.jpg,Green Chickpeas,0.0,4
Green Gram/Image_893.jpg,Green Gram,0.0,5
Yellow Lentils/Image_253.jpg,Yellow Lentils,0.0,13
Split Green Gram/Image_764.jpg,Split Green Gram,0.0,11
Yellow Lentils/Image_383.jpg,Yellow Lentils,0.0,13
Chickpeas/Image_211.jpg,Chickpeas,0.0,2
Black Gram/Image_93.jpg,Black Gram,0.0,1
Red Kidney Beans/Image_819.jpg,Red Kidney Beans,0.0,7
Pinto Beans/Image_208.jpg,Pinto Beans,0.0,6
Red Lentils/Image_631.jpg,Red Lentils,0.0,8
Red Lentils/Image_619.jpg,Red Lentils,0.0,8
Green Gram/Image_213.jpg,Green Gram,0.0,5
White Kidney Beans/Image_34.jpg,White Kidney Beans,0.0,12
Yellow Lentils/Image_98.jpg,Yellow Lentils,0.0,13
Pinto Beans/Image_740.jpg,Pinto Beans,0.0,6
Chickpeas/Image_99.jpg,Chickpeas,0.0,2
White Kidney Beans/Image_550.jpg,White Kidney Beans,0.0,12
Green Gram/Image_548.jpg,Green Gram,0.0,5
White Kidney Beans/Image_568.jpg,White Kidney Beans,0.0,12
Dew Bean/Image_82.jpg,Dew Bean,0.0,3
Yellow Lentils/Image_716.jpg,Yellow Lentils,0.0,13
Split Black Gram/Image_135_fa (32).jpg,Split Black Gram,0.0,10
Green Chickpeas/Image_6.jpg,Green Chickpeas,0.0,4
Dew Bean/Image_1.jpg,Dew Bean,0.0,3
Dew Bean/Image_538.jpg,Dew Bean,0.0,3
Green Chickpeas/Image_571.jpg,Green Chickpeas,0.0,4
Adzuki Beans/Image_383.jpg,Adzuki Beans,0.0,0
Chickpeas/Image_446.jpg,Chickpeas,0.0,2
Red Lentils/Image_903.jpg,Red Lentils,0.0,8
Chickpeas/Image_909.jpg,Chickpeas,0.0,2
Red Lentils/Image_196.jpg,Red Lentils,0.0,8
Adzuki Beans/Image_844.jpg,Adzuki Beans,0.0,0
White Kidney Beans/Image_478.jpg,White Kidney Beans,0.0,12
Yellow Lentils/Image_547.jpg,Yellow Lentils,0.0,13
Split Black Gram/Image_347.jpg,Split Black Gram,0.0,10
Green Chickpeas/Image_197.jpg,Green Chickpeas,0.0,4
Split Black Gram/Image_135_fa (92).jpg,Split Black Gram,0.0,10
Adzuki Beans/Image_365.jpg,Adzuki Beans,0.0,0
Split Black Gram/Image_159.jpg,Split Black Gram,0.0,10
Adzuki Beans/Image_961.jpg,Adzuki Beans,0.0,0
Yellow Lentils/Image_228.jpg,Yellow Lentils,0.0,13
Dew Bean/Image_202.jpg,Dew Bean,0.0,3
White Kidney Beans/Image_930.jpg,White Kidney Beans,0.0,12
Red Lentils/Image_294.jpg,Red Lentils,0.0,8
Red Lentils/Image_492.jpg,Red Lentils,0.0,8
Red Lentils/Image_11.jpg,Red Lentils,0.0,8
Green Chickpeas/Image_788.jpg,Green Chickpeas,0.0,4
Pinto Beans/Image_718.jpg,Pinto Beans,0.0,6
Red Kidney Beans/Image_574.jpg,Red Kidney Beans,0.0,7
White Kidney Beans/Image_832.jpg,White Kidney Beans,0.0,12
Red Kidney Beans/Image_606.jpg,Red Kidney Beans,0.0,7
Green Gram/Image_801.jpg,Green Gram,0.0,5
Green Chickpeas/Image_570.jpg,Green Chickpeas,0.0,4
Yellow Lentils/Image_451.jpg,Yellow Lentils,0.0,13
Chickpeas/Image_992.jpg,Chickpeas,0.0,2
Chickpeas/Image_342.jpg,Chickpeas,0.0,2
Green Chickpeas/Image_972.jpg,Green Chickpeas,0.0,4
Pinto Beans/Image_25.jpg,Pinto Beans,0.0,6
Pinto Beans/Image_271.jpg,Pinto Beans,0.0,6
Black Gram/Image_207_f (6).jpg,Black Gram,0.0,1
Split Black Gram/Image_135_fa (1).jpg,Split Black Gram,0.0,10
White Kidney Beans/Image_606.jpg,White Kidney Beans,0.0,12
Dew Bean/Image_584.jpg,Dew Bean,0.0,3
Red Lentils/Image_78.jpg,Red Lentils,0.0,8
Split Green Gram/Image_287.jpg,Split Green Gram,0.0,11
Green Gram/Image_393.jpg,Green Gram,0.0,5
Black Gram/Image_1.jpg,Black Gram,0.0,1
Red Kidney Beans/Image_334.jpg,Red Kidney Beans,0.0,7
Chickpeas/Image_302.jpg,Chickpeas,0.0,2
Red Kidney Beans/Image_343.jpg,Red Kidney Beans,0.0,7
Black Gram/Image_931.jpg,Black Gram,0.0,1
Chickpeas/Image_286.jpg,Chickpeas,0.0,2
Green Chickpeas/Image_586.jpg,Green Chickpeas,0.0,4
Red Lentils/Image_973.jpg,Red Lentils,0.0,8
Red Kidney Beans/Image_196.jpg,Red Kidney Beans,0.0,7
White Kidney Beans/Image_105.jpg,White Kidney Beans,0.0,12
Yellow Lentils/Image_317.jpg,Yellow Lentils,0.0,13
Black Gram/Image_542.jpg,Black Gram,0.0,1
Split Black Gram/Image_135_fa (16).jpg,Split Black Gram,0.0,10
Yellow Lentils/Image_968.jpg,Yellow Lentils,0.0,13
Red Kidney Beans/Image_7.jpg,Red Kidney Beans,0.0,7
Green Gram/Image_653.jpg,Green Gram,0.0,5
Green Chickpeas/Image_70.jpg,Green Chickpeas,0.0,4
Chickpeas/Image_444.jpg,Chickpeas,0.0,2
Green Gram/Image_181.jpg,Green Gram,0.0,5
Split Green Gram/Image_475.jpg,Split Green Gram,0.0,11
White Kidney Beans/Image_181.jpg,White Kidney Beans,0.0,12
Red Lentils/Image_301.jpg,Red Lentils,0.0,8
Green Gram/Image_627.jpg,Green Gram,0.0,5
Yellow Lentils/Image_174.jpg,Yellow Lentils,0.0,13
Green Gram/Image_572.jpg,Green Gram,0.0,5
Yellow Lentils/Image_562.jpg,Yellow Lentils,0.0,13
Dew Bean/Image_572.jpg,Dew Bean,0.0,3
Chickpeas/Image_130.jpg,Chickpeas,0.0,2
Black Gram/Image_672.jpg,Black Gram,0.0,1
White Kidney Beans/Image_421.jpg,White Kidney Beans,0.0,12
Adzuki Beans/Image_290.jpg,Adzuki Beans,0.0,0
Dew Bean/Image_11.jpg,Dew Bean,0.0,3
Adzuki Beans/Image_642.jpg,Adzuki Beans,0.0,0
Green Gram/Image_345.jpg,Green Gram,0.0,5
Red Lentils/Image_313.jpg,Red Lentils,0.0,8
Green Gram/Image_27.jpg,Green Gram,0.0,5
Adzuki Beans/Image_703.jpg,Adzuki Beans,0.0,0
Yellow Lentils/Image_979.jpg,Yellow Lentils,0.0,13
Adzuki Beans/Image_809.jpg,Adzuki Beans,0.0,0
White Kidney Beans/Image_443.jpg,White Kidney Beans,0.0,12
Pinto Beans/Image_198.jpg,Pinto Beans,0.0,6
Split Black Gram/Image_135_fa (123).jpg,Split Black Gram,0.0,10
Dew Bean/Image_316.jpg,Dew Bean,0.0,3
Green Gram/Image_652.jpg,Green Gram,0.0,5
Adzuki Beans/Image_249.jpg,Adzuki Beans,0.0,0
Yellow Lentils/Image_804.jpg,Yellow Lentils,0.0,13
Red Kidney Beans/Image_546.jpg,Red Kidney Beans,0.0,7
Green Chickpeas/Image_465.jpg,Green Chickpeas,0.0,4
Pinto Beans/Image_27.jpg,Pinto Beans,0.0,6
Green Gram/Image_235.jpg,Green Gram,0.0,5
Chickpeas/Image_935.jpg,Chickpeas,0.0,2
